density,fdr,strategy,replicate,precision,recall
0.0025,0.01,before testing,4,0.0117827868852459,0.00698451260249013
0.0025,0.01,same n edges,4,0.0128429655575015,0.0066808381415123
0.0025,0.1,testing,5,0.0146612740141557,0.00880655936835712
0.0025,0.1,before testing,5,0.0146390711761737,0.00880655936835712
0.0025,0.1,same n edges,5,0.0146761133603239,0.00880655936835712
0.0025,0.05,testing,5,0.0146909827760892,0.00880655936835712
0.0025,0.05,before testing,5,0.0146390711761737,0.00880655936835712
0.0025,0.05,same n edges,5,0.0147282884713052,0.00880655936835712
0.0025,0.01,testing,5,0.0155815247634947,0.00850288490737929
0.0025,0.01,before testing,5,0.0146390711761737,0.00880655936835712
0.0025,0.01,same n edges,5,0.0146149522203485,0.00789553598542363
0.0025,0.1,testing,6,0.011887072808321,0.00728818706346796
0.0025,0.1,before testing,6,0.0118753092528451,0.00728818706346796
0.0025,0.1,same n edges,6,0.011887072808321,0.00728818706346796
0.0025,0.05,testing,6,0.0119284294234592,0.00728818706346796
0.0025,0.05,before testing,6,0.0118753092528451,0.00728818706346796
0.0025,0.05,same n edges,6,0.0119581464872945,0.00728818706346796
0.0025,0.01,testing,6,0.0125136017410229,0.00698451260249013
0.0025,0.01,before testing,6,0.0118753092528451,0.00728818706346796
0.0025,0.01,same n edges,6,0.0116407982261641,0.00637716368053447
0.0025,0.1,testing,7,0.0172924901185771,0.0106286061342241
0.0025,0.1,before testing,7,0.017258382642998,0.0106286061342241
0.0025,0.1,same n edges,7,0.0173783515392254,0.0106286061342241
0.0025,0.05,testing,7,0.0173267326732673,0.0106286061342241
0.0025,0.05,before testing,7,0.017258382642998,0.0106286061342241
0.0025,0.05,same n edges,7,0.0174129353233831,0.0106286061342241
0.0025,0.01,testing,7,0.0181618051733627,0.0100212572122684
0.0025,0.01,before testing,7,0.017258382642998,0.0106286061342241
0.0025,0.01,same n edges,7,0.0163656884875846,0.00880655936835712
0.0025,0.1,testing,8,0.0144206862257583,0.00880655936835712
0.0025,0.1,before testing,8,0.0143777887952405,0.00880655936835712
0.0025,0.1,same n edges,8,0.0144278606965174,0.00880655936835712
0.0025,0.05,testing,8,0.0144782825761358,0.00880655936835712
0.0025,0.05,before testing,8,0.0143777887952405,0.00880655936835712
0.0025,0.05,same n edges,8,0.0144855144855145,0.00880655936835712
0.0025,0.01,testing,8,0.0152588555858311,0.00850288490737929
0.0025,0.01,before testing,8,0.0143777887952405,0.00880655936835712
0.0025,0.01,same n edges,8,0.0160664819944598,0.00880655936835712
0.0025,0.1,testing,9,0.0123823675086677,0.00759186152444579
0.0025,0.1,before testing,9,0.0123456790123457,0.00759186152444579
0.0025,0.1,same n edges,9,0.0123639960435213,0.00759186152444579
0.0025,0.05,testing,9,0.0124378109452736,0.00759186152444579
0.0025,0.05,before testing,9,0.0123456790123457,0.00759186152444579
0.0025,0.05,same n edges,9,0.0124254473161034,0.00759186152444579
0.0025,0.01,testing,9,0.0141643059490085,0.00759186152444579
0.0025,0.01,before testing,9,0.0123456790123457,0.00759186152444579
0.0025,0.01,same n edges,9,0.013745704467354,0.00728818706346796
0.0025,0.1,testing,10,0.014278914802475,0.00911023382933495
0.0025,0.1,before testing,10,0.0142450142450142,0.00911023382933495
0.0025,0.1,same n edges,10,0.014278914802475,0.00911023382933495
0.0025,0.05,testing,10,0.0143540669856459,0.00911023382933495
0.0025,0.05,before testing,10,0.0142450142450142,0.00911023382933495
0.0025,0.05,same n edges,10,0.014367816091954,0.00911023382933495
0.0025,0.01,testing,10,0.0139935414424112,0.00789553598542363
0.0025,0.01,before testing,10,0.0142450142450142,0.00911023382933495
0.0025,0.01,same n edges,10,0.0151926207270754,0.00850288490737929
0.005,0.1,testing,1,0.0113499154793528,0.0142726996659581
0.005,0.1,before testing,1,0.0113280308508074,0.0142726996659581
0.005,0.1,same n edges,1,0.0113526570048309,0.0142726996659581
0.005,0.05,testing,1,0.0114105365379947,0.0142726996659581
0.005,0.05,before testing,1,0.0113280308508074,0.0142726996659581
0.005,0.05,same n edges,1,0.0114271821055191,0.0142726996659581
