density,fdr,strategy,replicate,precision,recall
0.0025,0.005,before testing,1,0.0155466399197593,0.00941390829031278
0.0025,0.005,same n edges,1,0.0164576802507837,0.00637716368053447
0.0025,0.1,testing,2,0.0139026812313803,0.00850288490737929
0.0025,0.1,before testing,2,0.0138751238850347,0.00850288490737929
0.0025,0.1,same n edges,2,0.0139026812313803,0.00850288490737929
0.0025,0.05,testing,2,0.0139581256231306,0.00850288490737929
0.0025,0.05,before testing,2,0.0138751238850347,0.00850288490737929
0.0025,0.05,same n edges,2,0.013986013986014,0.00850288490737929
0.0025,0.01,testing,2,0.0140464613722312,0.00789553598542363
0.0025,0.01,before testing,2,0.0138751238850347,0.00850288490737929
0.0025,0.01,same n edges,2,0.0145985401459854,0.00789553598542363
0.0025,0.005,testing,2,0.0167883211678832,0.00698451260249013
0.0025,0.005,before testing,2,0.0138751238850347,0.00850288490737929
0.0025,0.005,same n edges,2,0.0166270783847981,0.00637716368053447
0.0025,0.1,testing,3,0.0148883374689826,0.00911023382933495
0.0025,0.1,before testing,3,0.0148662041625372,0.00911023382933495
0.0025,0.1,same n edges,3,0.0148883374689826,0.00911023382933495
0.0025,0.05,testing,3,0.0149551345962114,0.00911023382933495
0.0025,0.05,before testing,3,0.0148662041625372,0.00911023382933495
0.0025,0.05,same n edges,3,0.0149775336994508,0.00911023382933495
0.0025,0.01,testing,3,0.0156599552572707,0.00850288490737929
0.0025,0.01,before testing,3,0.0148662041625372,0.00911023382933495
0.0025,0.01,same n edges,3,0.0154109589041096,0.00819921044640146
0.0025,0.005,testing,3,0.0173913043478261,0.00728818706346796
0.0025,0.005,before testing,3,0.0148662041625372,0.00911023382933495
0.0025,0.005,same n edges,3,0.0150489089541008,0.00607348921955664
0.0025,0.1,testing,4,0.0141485598787266,0.00850288490737929
0.0025,0.1,before testing,4,0.0141342756183746,0.00850288490737929
0.0025,0.1,same n edges,4,0.0141557128412538,0.00850288490737929
0.0025,0.05,testing,4,0.0142059868087265,0.00850288490737929
0.0025,0.05,before testing,4,0.0141342756183746,0.00850288490737929
0.0025,0.05,same n edges,4,0.014278429372769,0.00850288490737929
0.0025,0.01,testing,4,0.0142531356898518,0.00759186152444579
0.0025,0.01,before testing,4,0.0141342756183746,0.00850288490737929
0.0025,0.01,same n edges,4,0.0146284376828555,0.00759186152444579
0.0025,0.005,testing,4,0.0181159420289855,0.00759186152444579
0.0025,0.005,before testing,4,0.0141342756183746,0.00850288490737929
0.0025,0.005,same n edges,4,0.0149812734082397,0.00607348921955664
0.0025,0.1,testing,5,0.0168818272095333,0.0103249316732463
0.0025,0.1,before testing,5,0.0168483647175421,0.0103249316732463
0.0025,0.1,same n edges,5,0.0168902136115251,0.0103249316732463
0.0025,0.05,testing,5,0.0169154228855721,0.0103249316732463
0.0025,0.05,before testing,5,0.0168483647175421,0.0103249316732463
0.0025,0.05,same n edges,5,0.0169322709163347,0.0103249316732463
0.0025,0.01,testing,5,0.0172991071428571,0.00941390829031278
0.0025,0.01,before testing,5,0.0168483647175421,0.0103249316732463
0.0025,0.01,same n edges,5,0.0173310225303293,0.00911023382933495
0.0025,0.005,testing,5,0.0178062678062678,0.00759186152444579
0.0025,0.005,before testing,5,0.0168483647175421,0.0103249316732463
0.0025,0.005,same n edges,5,0.0187940485512921,0.00728818706346796
0.0025,0.1,testing,6,0.0167240531234629,0.0103249316732463
0.0025,0.1,before testing,6,0.0166830225711482,0.0103249316732463
0.0025,0.1,same n edges,6,0.016740521910389,0.0103249316732463
0.0025,0.05,testing,6,0.0167735569807597,0.0103249316732463
0.0025,0.05,before testing,6,0.0166830225711482,0.0103249316732463
0.0025,0.05,same n edges,6,0.0168150346191889,0.0103249316732463
0.0025,0.01,testing,6,0.0176991150442478,0.00971758275129062
0.0025,0.01,before testing,6,0.0166830225711482,0.0103249316732463
0.0025,0.01,same n edges,6,0.0152887882219706,0.00819921044640146
0.0025,0.005,testing,6,0.017921146953405,0.00759186152444579
0.0025,0.005,before testing,6,0.0166830225711482,0.0103249316732463
0.0025,0.005,same n edges,6,0.0178837555886736,0.00728818706346796
0.0025,0.1,testing,7,0.0135746606334842,0.00819921044640146
0.0025,0.1,before testing,7,0.0135746606334842,0.00819921044640146
0.0025,0.1,same n edges,7,0.0135746606334842,0.00819921044640146
0.0025,0.05,testing,7,0.0136020151133501,0.00819921044640146
0.0025,0.05,before testing,7,0.0135746606334842,0.00819921044640146
0.0025,0.05,same n edges,7,0.0136088709677419,0.00819921044640146
0.0025,0.01,testing,7,0.0147811256395679,0.00789553598542363
0.0025,0.01,before testing,7,0.0135746606334842,0.00819921044640146
0.0025,0.01,same n edges,7,0.0146284376828555,0.00759186152444579
0.0025,0.005,testing,7,0.0167638483965015,0.00698451260249013
0.0025,0.005,before testing,7,0.0135746606334842,0.00819921044640146
0.0025,0.005,same n edges,7,0.0173228346456693,0.0066808381415123
0.0025,0.1,testing,8,0.0139624458353394,0.00880655936835712
0.0025,0.1,before testing,8,0.0139423076923077,0.00880655936835712
0.0025,0.1,same n edges,8,0.0139624458353394,0.00880655936835712
0.0025,0.05,testing,8,0.0140028971511347,0.00880655936835712
0.0025,0.05,before testing,8,0.0139423076923077,0.00880655936835712
0.0025,0.05,same n edges,8,0.0140367860600194,0.00880655936835712
0.0025,0.01,testing,8,0.0151436031331593,0.00880655936835712
0.0025,0.01,before testing,8,0.0139423076923077,0.00880655936835712
0.0025,0.01,same n edges,8,0.0155746509129968,0.00880655936835712
0.0025,0.005,testing,8,0.0158949550794748,0.00698451260249013
0.0025,0.005,before testing,8,0.0139423076923077,0.00880655936835712
0.0025,0.005,same n edges,8,0.017037037037037,0.00698451260249013
0.0025,0.1,testing,9,0.0144422310756972,0.00880655936835712
0.0025,0.1,before testing,9,0.0144135188866799,0.00880655936835712
0.0025,0.1,same n edges,9,0.0144422310756972,0.00880655936835712
0.0025,0.05,testing,9,0.0144855144855145,0.00880655936835712
0.0025,0.05,before testing,9,0.0144135188866799,0.00880655936835712
0.0025,0.05,same n edges,9,0.014521782674011,0.00880655936835712
0.0025,0.01,testing,9,0.0155172413793103,0.00819921044640146
0.0025,0.01,before testing,9,0.0144135188866799,0.00880655936835712
0.0025,0.01,same n edges,9,0.0151780502043199,0.00789553598542363
0.0025,0.005,testing,9,0.0183767228177642,0.00728818706346796
0.0025,0.005,before testing,9,0.0144135188866799,0.00880655936835712
0.0025,0.005,same n edges,9,0.0154559505409583,0.00607348921955664
0.0025,0.1,testing,10,0.0159055926115957,0.00941390829031278
0.0025,0.1,before testing,10,0.0158892875448488,0.00941390829031278
0.0025,0.1,same n edges,10,0.0159055926115957,0.00941390829031278
0.0025,0.05,testing,10,0.0160123966942149,0.00941390829031278
0.0025,0.05,before testing,10,0.0158892875448488,0.00941390829031278
0.0025,0.05,same n edges,10,0.0159958720330237,0.00941390829031278
0.0025,0.01,testing,10,0.0164866401364412,0.00880655936835712
0.0025,0.01,before testing,10,0.0158892875448488,0.00941390829031278
0.0025,0.01,same n edges,10,0.0155172413793103,0.00819921044640146
0.0025,0.005,testing,10,0.0186011904761905,0.00759186152444579
0.0025,0.005,before testing,10,0.0158892875448488,0.00941390829031278
0.0025,0.005,same n edges,10,0.0168453292496172,0.0066808381415123
