,from,to,pval,fdr,value
233,AT3G23230,AT3G50170,0.00799200799200799,0.0138808559861191,2
234,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT3G50170,0.00799200799200799,0.0138808559861191,2
235,AT2G33710,AT3G50170,0.017982017982018,0.0217099973197534,2
236,mean_AT4G01720-AT5G46350-AT3G17609,AT5G36710,0.000999000999000999,0.00440960313571779,2
237,AT1G29860,AT1G51890,0.004995004995005,0.011094674556213,2
238,AT2G33710,AT1G51890,0.014985014985015,0.0189155107187894,2
239,mean_AT5G03740-AT1G56170,AT1G51890,0.002997002997003,0.00906953308700034,2
240,AT1G62300,AT1G51890,0.013986013986014,0.0180826636050517,2
241,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G07820,0.002997002997003,0.00906953308700034,2
242,AT1G29860,AT4G07820,0.00599400599400599,0.0121457489878542,2
243,AT3G23230,AT4G07820,0.013986013986014,0.0180826636050517,2
244,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT5G01570,0.000999000999000999,0.00440960313571779,2
245,AT2G33710,AT4G15417,0.01998001998002,0.0235879963307561,2
246,AT1G29860,AT4G15417,0.00699300699300699,0.0128887070376432,2
247,AT2G40740,AT4G15417,0.00699300699300699,0.0128887070376432,2
248,mean_AT5G03740-AT1G56170,AT4G39230,0.000999000999000999,0.00440960313571779,2
249,AT1G62300,AT3G48850,0.000999000999000999,0.00440960313571779,2
250,AT4G32280,AT3G48850,0.00899100899100899,0.0142907551164432,2
251,mean_AT1G78930-AT5G44260-AT4G25470-AT1G57560,AT1G80660,0.000999000999000999,0.00440960313571779,2
252,AT1G29860,AT1G21100,0.00999000999000999,0.0150175204405139,2
253,AT3G23230,AT1G21100,0.021978021978022,0.0256410256410256,2
254,AT2G40740,AT1G21100,0.00899100899100899,0.0142907551164432,2
255,mean_AT5G03740-AT1G56170,AT1G21100,0.00799200799200799,0.0138808559861191,2
256,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G21100,0.00899100899100899,0.0142907551164432,2
257,AT2G40740,AT4G23610,0.000999000999000999,0.00440960313571779,2
258,mean_AT5G03740-AT1G56170,AT3G15518,0.00699300699300699,0.0128887070376432,2
259,AT2G40740,AT3G15518,0.00799200799200799,0.0138808559861191,2
260,AT1G29860,AT3G15518,0.016983016983017,0.0207204767063922,2
261,mean_AT5G03740-AT1G56170,AT1G54000,0.000999000999000999,0.00440960313571779,2
262,AT5G43290,AT1G54000,0.001998001998002,0.00728744939271255,2
263,AT2G33710,AT1G66700,0.011988011988012,0.0163859808830223,2
264,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G66700,0.00699300699300699,0.0128887070376432,2
265,mean_AT5G03740-AT1G56170,AT1G66700,0.00999000999000999,0.0150175204405139,2
266,AT2G40740,AT1G66700,0.018981018981019,0.0226790450928382,2
267,AT1G29860,AT1G66700,0.004995004995005,0.011094674556213,2
268,AT1G62300,AT5G20960,0.00599400599400599,0.0121457489878542,2
269,AT2G33710,AT5G20960,0.011988011988012,0.0163859808830223,2
270,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT5G20960,0.003996003996004,0.0103329506314581,2
271,AT1G29860,AT5G28630,0.004995004995005,0.011094674556213,2
272,AT2G40740,AT5G28630,0.00599400599400599,0.0121457489878542,2
273,AT3G23230,AT5G28630,0.004995004995005,0.011094674556213,2
274,AT1G62300,AT1G26420,0.011988011988012,0.0163859808830223,2
275,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G26420,0.015984015984016,0.0198156047887712,2
276,mean_AT5G03740-AT1G56170,AT1G26420,0.00699300699300699,0.0128887070376432,2
277,AT3G23230,AT1G26420,0.025974025974026,0.0293159609120521,2
278,mean_AT5G03740-AT1G56170,AT5G48540,0.004995004995005,0.011094674556213,2
279,AT1G29860,AT5G48540,0.003996003996004,0.0103329506314581,2
280,AT2G40740,AT5G48540,0.00899100899100899,0.0142907551164432,2
281,mean_AT5G03740-AT1G56170,AT4G21120,0.00699300699300699,0.0128887070376432,2
282,AT2G40740,AT4G21120,0.013986013986014,0.0180826636050517,2
283,AT2G33710,AT4G21120,0.00899100899100899,0.0142907551164432,2
284,AT1G62300,AT4G21120,0.015984015984016,0.0198156047887712,2
285,mean_AT5G03740-AT1G56170,AT3G22060,0.002997002997003,0.00906953308700034,2
286,AT2G33710,AT3G22060,0.034965034965035,0.0387692307692308,2
287,AT1G29860,AT3G22060,0.014985014985015,0.0189155107187894,2
288,AT2G40740,AT3G22060,0.010989010989011,0.0155733836715432,2
