label;logFC;logCPM;FDR;Regulation;Gene_ID
CPN10;1.8717185754572;-16.8851431587699;9.11071218712985e-59;Up;AT1G14980.1
AT3G46320;-1.98752993634547;-20.1313709777029;1.11561252172021e-58;Down;AT3G46320.1
AT1G51310;1.62417579317287;-19.12762128374;1.45870349121283e-58;Up;AT1G51310.1
AT4G33490;1.55815040729733;-18.2011613239905;1.97282818599223e-58;Up;AT4G33490.2
RBL14;2.22017157954623;-20.022832564461;2.76025069398472e-58;Up;AT3G17611.1
AT-HSFB2B;2.15716609521434;-19.477236491372;5.10897098187432e-58;Up;AT4G11660.1
PIL2;3.62642577913053;-19.3280591894707;6.1194184259702e-58;Up;AT3G62090.2
BGLU5;1.72377476563217;-17.5703967670215;2.05759574276382e-57;Up;AT1G60260.1
ACA8;1.70862211082635;-17.2443494997508;3.14464870057152e-57;Up;AT5G57110.1
AT5G26800;1.8662023763739;-19.5474680947374;3.37046364652431e-57;Up;AT5G26800.1
AT1G35660;1.74938164413717;-19.1186052646533;3.61382239756646e-57;Up;AT1G35660.1
AT5G47830;2.23212080008786;-19.5706754705647;6.15802269209478e-57;Up;AT5G47830.1
SDG37;2.11893618280368;-20.1361039086573;6.77223159815075e-57;Up;AT2G17900.1
HSP15.7;3.58788140556207;-19.7561195887677;4.30734424363348e-56;Up;AT5G37670.1
AT3G07195;-4.59210291008537;-22.2597548206579;9.28086570020767e-56;Down;AT3G07195.2
P5C;1.7481089616584;-17.5655452980263;1.67141148460583e-55;Up;AT5G14800.1
HSP60;1.97928468739558;-16.216861734857;4.64212680145812e-55;Up;AT3G23990.1
AT5G54710;-3.54786290399031;-19.8296249287324;5.53560752809543e-54;Down;AT5G54710.2
AT4G20690;1.90320270260719;-19.9076340568637;8.68800803252082e-54;Up;AT4G20690.1
CIB1;1.71042693841872;-18.9840266479611;1.28205197712593e-53;Up;AT4G34530.1
LHCB2.3;-2.11607108485738;-13.3692491644546;1.44521208010483e-53;Down;AT3G27690.2
AT1G26580;1.667897551609;-16.5610063425852;1.57591865139955e-53;Up;AT1G26580.1
AAE17;1.58097095425003;-18.6968197559933;3.96488454856146e-53;Up;AT5G23050.1
AT4G30910;-2.62048855203165;-18.390496709389;5.61124150472172e-53;Down;AT4G30910.2
MTERF16;2.1904730946577;-20.7131731825508;6.72020966356396e-53;Up;AT1G78930.1
AT1G27350;1.59119103109174;-18.0039941026014;7.20079623458692e-53;Up;AT1G27350.1
PTST;1.98834972337297;-19.1573915880466;7.73395686439216e-53;Up;AT5G39790.3
AT5G66090;1.65846458572374;-18.0748481761565;8.1414120255727e-53;Up;AT5G66090.1
P;-1.68692982901244;-18.3112665748142;9.08812422076382e-53;Down;AT1G07180.1
AT2G30480;2.92186736915936;-19.8873910652647;9.4870066994619e-53;Up;AT2G30480.10
AT2G21430;3.04996993473438;-21.4635867918074;1.05230341136058e-52;Up;AT2G21430.1
AT3G57810;1.5835931095562;-18.8630541217926;1.2703665218142e-52;Up;AT3G57810.2
AT4G23493;4.50510726107051;-20.9675412667106;4.21518770877065e-52;Up;AT4G23493.1
NET3A;2.6538286058348;-20.3002028653399;7.76183415130247e-52;Up;AT1G03470.1
HSP70B;2.80135275890568;-19.4441379295299;1.02197166598704e-51;Up;AT1G16030.1
STP4;-2.72278929780553;-17.6271499031248;1.26985921186093e-51;Down;AT3G19930.1
AT2G38465;3.16555059909437;-20.7407146588343;1.43522403979281e-51;Up;AT2G38465.1
