,from,to,weight,value
84,AT1G14580,AT5G18430,0.107436540946888,0.107436540946888
85,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT5G03553,0.107337245560632,0.107337245560632
86,AT2G40740,AT3G15518,0.107194619501169,0.107194619501169
87,AT1G62300,AT1G78410,0.106929528308678,0.106929528308678
88,mean_AT5G03740-AT1G56170,AT5G51465,0.106905292931624,0.106905292931624
89,AT1G29860,AT5G06570,0.106856725846357,0.106856725846357
90,AT1G29860,AT1G26380,0.106833842195173,0.106833842195173
91,AT1G29860,AT2G33710,0.106374048753706,0.106374048753706
92,mean_AT4G00150-AT1G74930,ATCG00690,0.106276772346728,0.106276772346728
93,AT5G02320,AT1G77380,0.106253198427358,0.106253198427358
94,AT1G29860,AT1G23840,0.106224965613657,0.106224965613657
95,AT3G23230,AT3G50170,0.106199166081903,0.106199166081903
96,AT3G51910,AT3G57010,0.106196102620517,0.106196102620517
97,mean_AT4G01720-AT5G46350-AT3G17609,AT5G36800,0.1061413831437,0.1061413831437
98,mean_AT5G03740-AT1G56170,AT4G37900,0.106080012371614,0.106080012371614
99,AT2G40740,AT1G21120,0.105974146193974,0.105974146193974
100,mean_AT5G03740-AT1G56170,AT4G13235,0.105931205264665,0.105931205264665
101,AT2G40740,AT4G07820,0.10588976269423,0.10588976269423
102,mean_AT4G01720-AT5G46350-AT3G17609,AT1G31690,0.105805989413869,0.105805989413869
103,mean_AT5G03740-AT1G56170,AT3G54640,0.105669488177218,0.105669488177218
104,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT2G14580,0.105414653166138,0.105414653166138
105,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT2G21650,0.105264996460082,0.105264996460082
106,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT2G30010,0.105192417185194,0.105192417185194
107,AT2G40740,AT4G39610,0.105137463254379,0.105137463254379
108,AT1G62300,AT5G24090,0.105109139254522,0.105109139254522
109,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,ATCG00490,0.104925971350681,0.104925971350681
110,AT4G32280,AT5G18010,0.104707774141124,0.104707774141124
111,mean_AT5G03740-AT1G56170,AT3G16530,0.104672368314599,0.104672368314599
112,AT1G62300,AT3G04300,0.104634909021369,0.104634909021369
113,AT2G40740,AT1G66700,0.104524782719947,0.104524782719947
114,AT2G33710,AT1G30755,0.104385022449863,0.104385022449863
115,mean_AT5G03740-AT1G56170,AT4G30910,0.104359510180861,0.104359510180861
116,mean_AT5G03740-AT1G56170,AT4G15236,0.104320198385346,0.104320198385346
117,mean_AT5G03740-AT1G56170,AT4G00970,0.104289531171652,0.104289531171652
118,mean_AT4G00150-AT1G74930,ATCG00510,0.104157819832302,0.104157819832302
119,AT1G62300,AT5G20960,0.104024091707332,0.104024091707332
120,AT1G62300,AT2G43870,0.103999858893498,0.103999858893498
121,AT1G29860,AT1G66700,0.103868688372475,0.103868688372475
122,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT3G13403,0.103757597061737,0.103757597061737
123,AT5G43290,AT2G37980,0.10375623598543,0.10375623598543
124,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,AT2G14580,0.10364107860249,0.10364107860249
125,mean_AT4G00150-AT1G74930,AT2G01021,0.103570537123897,0.103570537123897
126,AT2G33710,AT2G35980,0.103569484031574,0.103569484031574
127,mean_AT5G03740-AT1G56170,AT1G51890,0.103484696481151,0.103484696481151
128,AT1G29860,AT1G17147,0.103460424743992,0.103460424743992
129,AT1G44830,AT1G75750,0.103390598408836,0.103390598408836
130,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,ATCG00020,0.103285350883077,0.103285350883077
131,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G21130,0.103180244095789,0.103180244095789
132,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT2G21820,0.103139177637963,0.103139177637963
133,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,ATCG00210,0.10303397558685,0.10303397558685
134,AT1G29860,AT3G20395,0.103009503537525,0.103009503537525
135,mean_AT4G00150-AT1G74930,ATCG00280,0.10297521910961,0.10297521910961
136,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G30775,0.10296485759341,0.10296485759341
137,AT1G62300,AT3G15356,0.102924524871078,0.102924524871078
138,AT3G23230,AT1G61360,0.10291346034728,0.10291346034728
139,AT1G16530,AT5G13210,0.102793972598808,0.102793972598808
140,mean_AT5G03740-AT1G56170,AT1G02360,0.102726884082963,0.102726884082963
141,AT3G23230,AT4G39830,0.102689764904076,0.102689764904076
142,AT2G40740,AT4G18430,0.10260500653942,0.10260500653942
143,AT1G29860,AT4G21903,0.102520438109999,0.102520438109999
144,AT3G23230,AT3G26500,0.102512026999256,0.102512026999256
145,AT2G40740,AT1G58225,0.102502792669696,0.102502792669696
146,AT1G62300,AT4G21120,0.102468372323244,0.102468372323244
147,AT1G29860,AT1G61360,0.102436114944554,0.102436114944554
148,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT3G01960,0.102395147147765,0.102395147147765
149,AT1G29860,AT1G78860,0.102347045303231,0.102347045303231
150,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G02850,0.10228159732897,0.10228159732897
151,AT2G40740,AT4G23610,0.102211979511177,0.102211979511177
152,mean_AT4G01720-AT5G46350-AT3G17609,AT1G79770,0.102147070962507,0.102147070962507
153,AT5G59570,AT2G30010,0.102107880711716,0.102107880711716
154,AT1G29860,AT4G11470,0.10210284811149,0.10210284811149
155,AT1G29860,AT4G00970,0.102098935863434,0.102098935863434
156,mean_AT5G03740-AT1G56170,AT3G23550,0.102071354278398,0.102071354278398
157,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT2G28630,0.101996345118592,0.101996345118592
158,mean_AT5G03740-AT1G56170,AT5G59530,0.10198732433256,0.10198732433256
159,AT1G62300,AT2G40740,0.101932512690024,0.101932512690024
160,AT2G40740,AT1G51920,0.101903500110723,0.101903500110723
